district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat
Kabul-D01,01,01,تعمیر,0101001,Achekzai Street,Ashuqan-O-Arifan High School,Kabul,2,3,5,Building,69.180663,34.508674
Laja Ahmad Khel,08,13,ولسوالی,1308138,Kwandi Hassan Khel Village,Venus Khel Mosque,Paktya,0,3,3,District,69.633380,33.875809
Kama,05,06,قریه,0605160,Darbang,Darbang School,Nangarhar,1,2,3,Village,70.594289,34.456240
Sher Zad,19,06,قریه,0619243,Mama Khel,Mama Khel High School,Nangarhar,2,0,2,Village,69.996986,34.246730
Goshta,14,06,قریه,0614499,Ali Khel Village,Private House,Nangarhar,2,0,2,Village,70.920090,34.479525
Achin,15,06,قریه,0615385,Bandar Khola,Bandar Khola Jaame Mosque,Nangarhar,0,2,2,Village,70.763745,34.069796
Shindand,14,32,تعمیر,3214301,Qandiz,Qandiz Qademi Mosque,Herat,1,3,4,Building,62.142738,33.306408
Guzara,03,32,قریه,3203117,Gumbadi Village,Kochis Location,Herat,1,1,2,Village,62.376290,34.060384
Balkh,06,21,تعمیر,2106177,Shahab Afghania Village,Shamsullah Private House,Balkh,1,1,2,Building,66.848347,36.910655
Tagab,06,02,تعمیر,0206095,Shokut,Shaheed Hafizullah Secondary School,Kapisa,0,3,3,Building,69.685334,34.887052
Shaykh Ali,10,03,تعمیر,0310131,District Bazar Dasht-E-Guzar,District Building,Parwan,1,1,2,Building,68.541312,34.946563
Obe,12,32,قریه,3212376,Posht-E- Paji,Posht-E- Paji Mosque,Herat,1,1,2,Village,63.241473,34.276242
Obe,12,32,تعمیر,3212377,Sarwan Village,Sarwan School,Herat,2,3,5,Building,63.057831,34.289078
Syahgirdi Ghorband,07,03,ولسوالی,0307090,Sar-E-Pul Du Aab,Du Aab Mosque,Parwan,1,2,3,District,68.861118,35.005307
Chighcheran,01,23,قریه,2301039,Jandak,Jandak School,Ghor,2,3,5,Village,65.703981,34.995563
Alingar,04,07,تعمیر,0704076,Parwayee,Parwayee School,Laghman,1,1,2,Building,70.369930,34.861261
Alingar,04,07,تعمیر,0704080,Mango,Mango School And Tent,Laghman,1,1,2,Building,70.379452,34.886618
Alingar,04,07,تعمیر,0704081,Kotaly,Kotaly Islamic Madrassa,Laghman,1,1,2,Building,70.391960,34.923274
Shigal Wa Shiltan,06,15,تعمیر,1506063,Shenkorak,Primary School,Kunar,2,3,5,Building,71.228086,34.949806
Shigal Wa Shiltan,06,15,تعمیر,1506064,Shegal Washilton,District Compound,Kunar,2,3,5,Building,71.274838,34.966456
Dangam,12,15,قریه,1512054,Byadad,Byadad Primary School,Kunar,2,2,4,Village,71.398757,35.015601
Pasaband,05,23,تعمیر,2305113,Takhta Tarma Village,Takhta Tarma Bazar Tent,Ghor,1,2,3,Building,64.891602,33.787642
Pasaband,05,23,تعمیر,2305134,Surkhak Village,Surkhak Village Mosque,Ghor,1,1,2,Building,65.229995,33.605979
Tulak,09,23,تعمیر,2309178,Khwajaha Village,Tolak School,Ghor,1,2,3,Building,63.719884,33.971864
Tulak,09,23,قریه,2309186,Tagab Ashlan,Tagab Ashlan Secondary School,Ghor,1,3,4,Village,63.631859,34.120081
Tulak,09,23,قریه,2309192,Laraq,Arbab Mir Gul Private House,Ghor,1,1,2,Village,63.519567,34.153501
Tulak,09,23,تعمیر,2309193,Sang Khalq,Sang Khalq Primary School,Ghor,1,2,3,Building,63.797305,33.945931
Nawzad,07,30,قریه,3007196,Nawzad Kalan,Asad Suri High School,Helmand,1,6,7,Village,64.470857,32.404516
Musa Qala,09,30,قریه,3009184,Sher Ghazai,Noor Mohammad Private House,Helmand,2,3,5,Village,64.698310,32.232402
Musa Qala,09,30,قریه,3009185,Kaani Manda,Khan Mohammad Mosque,Helmand,2,3,5,Village,64.745225,32.260206
Bala Murghab,05,31,تعمیر,3105153,Akaziha,Akazi School,Badghis,1,1,2,Building,63.310735,35.613738
Bala Murghab,05,31,تعمیر,3105158,Joy-E-Kar,Joy-E- Kar School,Badghis,1,2,3,Building,63.370382,35.521603
Bala Murghab,05,31,قریه,3105168,Mahalla-E- Paheen,Mahalla-E- Paheen  School,Badghis,2,3,5,Village,63.641352,35.325365
Bala Murghab,05,31,قریه,3105188,Sarkhlang Joy-E-Ganj,Sarkhlang Joy-E-Ganj Mosque,Badghis,1,1,2,Village,63.324845,35.612154
